Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobAfterEffects7 className: JobAfterEffects7 parent: JobAfterEffects
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobAfterEffects8 className: JobAfterEffects8 parent: JobAfterEffects
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobAssignment className: JobAssignment
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobAssignmentStatus className: JobAssignmentStatus
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobAutodeskBurn className: JobAutodeskBurn parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobBatch className: JobBatch parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobCannedBatch className: JobCannedBatch
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobCinema4D className: JobCinema4D parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobCommandHistory className: JobCommandHistory
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobDep className: JobDep
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobError className: JobError
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobErrorHandler className: JobErrorHandler
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobErrorHandlerScript className: JobErrorHandlerScript
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobFusion className: JobFusion parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobFusionVideoMaker className: JobFusionVideoMaker parent: JobFusion
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobHistory className: JobHistory
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobHistoryType className: JobHistoryType
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobHoudiniSim10 className: JobHoudiniSim10 parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobMantra100 className: JobMantra100 parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobMax className: JobMax parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobMax10 className: JobMax10 parent: JobMax
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobMax2009 className: JobMax2009 parent: JobMax
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobMax5 className: JobMax5 parent: Job
